Goods,Value,Unit,Note
module electronics,0,$/kg,Only unit prices
cell group interconnect,8.72,$/kg,
module polymer panels,2.3,$/kg,
module terminal,8.64,$/kg,
module container,2.4,$/kg,
module row rack,1.33,$/kg,
module elastomer pads,1,$/kg,
module thermal conductor,2.41,$/kg,heat conductor in BP V5
module interconnects,8.84,$/kg,
cooling panels,2.8,$/kg,
cooling mains Fe,8,$/kg,Coolant manifolds in BP V5
cooling connectors,8,$/kg,Coolant manifolds in BP V5
pack terminals,8.88,$/kg,
battery jacket Fe,1.4,$/kg,
battery jacket Al,2.81,$/kg,
battery jacket insulation,9.38,$/kg,Calculated from m2 (3 $/m2) based on a density of 0.32 g/cm3 as stated in BatPaC
busbar,8.68,$/kg,
gas release,0,$/kg,Only unit prices
pack heater,0,$/kg,Only unit prices
